name,is_legendary,is_creature,is_instant,is_sorcery,is_land,is_enchantment,is_planeswalker,is_artifact,cmc,first_printing,last_printing,num_printings,is_id_white,is_id_blue,is_id_black,is_id_red,is_id_green,is_standard_legal,is_commander_legal,is_modern_legal,is_pioneer_legal,is_legacy_legal,is_pauper_legal,is_reserved,is_reprint,rarity,edhrec_rank,power,toughness,exp,price,set_enum,is_booster
Abandon Hope,0,0,0,1,0,0,0,0,2.0,1997,1997,1.0,0,0,1,0,0,0,1,0,0,1,0,0,0,3,12371.0,-5,-5,0,0.24,2,1.0
Abandon Reason,0,0,1,0,0,0,0,0,3.0,2016,2016,1.0,0,0,0,1,0,0,1,1,1,1,0,0,0,3,7090.0,-5,-5,0,0.11,2,1.0
Abandoned Outpost,0,0,0,0,1,0,0,0,0.0,2001,2001,1.0,1,0,0,0,0,0,1,0,0,1,1,0,0,4,12673.0,-5,-5,0,0.13,2,1.0
Abandoned Sarcophagus,0,0,0,0,0,0,0,1,3.0,2017,2020,3.0,0,0,0,0,0,0,1,1,1,1,0,0,1,2,4345.0,-5,-5,0,0.14,3,0.0
Abattoir Ghoul,0,1,0,0,0,0,0,0,4.0,2011,2016,2.0,0,0,1,0,0,0,1,1,0,1,0,0,1,3,11104.0,3,3,0,0.11,6,0.0
Abbey Gargoyles,0,1,0,0,0,0,0,0,5.0,1995,1997,2.0,1,0,0,0,0,0,1,0,0,1,0,0,1,3,17287.0,3,3,0,0.16,4,1.0
Abbey Griffin,0,1,0,0,0,0,0,0,4.0,2011,2011,1.0,1,0,0,0,0,0,1,1,0,1,1,0,0,4,13480.0,2,2,0,0.06,2,1.0
Abbey Matron,0,1,0,0,0,0,0,0,3.0,1995,1995,2.0,1,0,0,0,0,0,1,0,0,1,1,0,0,4,19187.0,1,1,0,0.1,2,1.0
Abbot of Keral Keep,0,1,0,0,0,0,0,0,2.0,2015,2015,2.0,0,0,0,1,0,0,1,1,1,1,0,0,0,2,7815.0,2,2,1,1.81,1,1.0
Abduction,0,0,0,0,0,1,0,0,4.0,1997,1999,2.0,0,1,0,0,0,0,1,0,0,1,0,0,1,3,9825.0,-5,-5,0,0.26,1,1.0
Aberrant Researcher // Perfected Form,0,1,0,0,0,0,0,0,4.0,2016,2016,1.0,0,1,0,0,0,0,1,1,1,1,0,0,0,3,14423.0,-5,-5,0,0.06,2,1.0
Abeyance,0,0,1,0,0,0,0,0,2.0,1997,1997,1.0,1,0,0,0,0,0,1,0,0,1,0,1,0,2,8070.0,-5,-5,1,16.35,2,1.0
Abhorrent Overlord,0,1,0,0,0,0,0,0,7.0,2013,2013,2.0,0,0,1,0,0,0,1,1,1,1,0,0,0,2,1690.0,6,6,0,0.48,2,1.0
Abjure,0,0,1,0,0,0,0,0,1.0,1997,1997,1.0,0,1,0,0,0,0,1,0,0,1,1,0,0,4,4866.0,-5,-5,0,0.33,2,1.0
Abnormal Endurance,0,0,1,0,0,0,0,0,2.0,2018,2018,1.0,0,0,1,0,0,0,1,1,1,1,1,0,0,4,5981.0,-5,-5,0,0.1,1,1.0
Abolish,0,0,1,0,0,0,0,0,3.0,2000,2010,2.0,1,0,0,0,0,0,1,0,0,1,0,0,1,3,7676.0,-5,-5,0,0.24,6,0.0
Abominable Treefolk,0,1,0,0,0,0,0,0,4.0,2019,2019,1.0,0,1,0,0,1,0,1,1,0,1,0,0,0,3,11811.0,-3,-3,0,0.08,7,1.0
Abomination,0,1,0,0,0,0,0,0,5.0,1994,1995,4.0,0,0,1,0,0,0,1,0,0,1,0,0,1,3,17410.0,2,2,0,0.23,1,1.0
