name,is_legendary,is_creature,is_instant,is_sorcery,is_land,is_enchantment,is_planeswalker,is_artifact,cmc,first_printing,last_printing,num_printings,is_id_white,is_id_blue,is_id_black,is_id_red,is_id_green,is_standard_legal,is_commander_legal,is_modern_legal,is_pioneer_legal,is_legacy_legal,is_pauper_legal,is_reserved,is_reprint,rarity,edhrec_rank,power,toughness,exp,price,set_enum,is_booster
Abbot of Keral Keep,0,1,0,0,0,0,0,0,2.0,2015,2015,2.0,0,0,0,1,0,0,1,1,1,1,0,0,0,2,7815.0,2,2,1,1.81,1,1.0
Abeyance,0,0,1,0,0,0,0,0,2.0,1997,1997,1.0,1,0,0,0,0,0,1,0,0,1,0,1,0,2,8070.0,-5,-5,1,16.35,2,1.0
Abrupt Decay,0,0,1,0,0,0,0,0,2.0,2012,2018,4.0,0,0,1,0,1,0,1,1,1,1,0,0,1,2,470.0,-5,-5,1,5.35,4,1.0
Abundance,0,0,0,0,0,1,0,0,4.0,1998,2017,4.0,0,0,0,0,1,0,1,1,0,1,0,0,1,2,1081.0,-5,-5,1,1.46,3,0.0
Abyssal Nocturnus,0,1,0,0,0,0,0,0,3.0,2006,2006,1.0,0,0,1,0,0,0,1,1,0,1,0,0,0,2,9650.0,2,2,1,1.15,2,1.0
Academy Rector,0,1,0,0,0,0,0,0,4.0,1999,1999,1.0,1,0,0,0,0,0,1,0,0,1,0,1,0,2,1709.0,1,1,1,70.67,2,1.0
Academy Ruins,1,0,0,0,1,0,0,0,0.0,2006,2020,4.0,0,1,0,0,0,0,1,1,0,1,0,0,1,2,502.0,-5,-5,1,6.86,4,1.0
Acid Rain,0,0,0,1,0,0,0,0,4.0,1994,1994,1.0,0,1,0,0,0,0,1,0,0,1,0,1,1,2,15221.0,-5,-5,1,41.53,4,1.0
Acorn Catapult,0,0,0,0,0,0,0,1,4.0,2011,2020,2.0,0,0,0,0,0,0,1,0,0,1,0,0,1,2,8535.0,-5,-5,1,4.83,4,1.0
Acquire,0,0,0,1,0,0,0,0,5.0,2004,2014,2.0,0,1,0,0,0,0,1,1,0,1,0,0,0,2,3671.0,-5,-5,1,2.46,2,1.0
Act of Authority,0,0,0,0,0,1,0,0,3.0,2013,2013,1.0,1,0,0,0,0,0,1,0,0,1,0,0,0,2,3508.0,-5,-5,1,1.77,3,0.0
Ad Nauseam,0,0,1,0,0,0,0,0,5.0,2008,2020,2.0,0,0,1,0,0,0,1,1,0,1,0,0,1,2,881.0,-5,-5,1,5.1,4,1.0
