name,is_legendary,is_creature,is_instant,is_sorcery,is_land,is_enchantment,is_planeswalker,is_artifact,cmc,first_printing,last_printing,num_printings,is_id_white,is_id_blue,is_id_black,is_id_red,is_id_green,is_standard_legal,is_commander_legal,is_modern_legal,is_pioneer_legal,is_legacy_legal,is_pauper_legal,is_reserved,is_reprint,rarity,edhrec_rank,power,toughness,exp,price,set_enum,is_booster
Canyon Minotaur,0,1,0,0,0,0,0,0,4,2013,2013,5,0,0,0,1,0,0,1,1,1,1,1,0,1,4,15453.0,3,3,0,0.01,1,1
Centaur Courser,0,1,0,0,0,0,0,0,3,2019,2019,6,0,0,0,0,1,1,1,1,1,1,1,0,1,4,15454.0,3,3,0,0.01,1,1
Chainwhip Cyclops,0,1,0,0,0,0,0,0,5,2019,2019,1,0,0,0,1,0,1,1,1,1,1,1,0,0,4,16808.0,4,4,0,0.01,2,1
Coral Merfolk,0,1,0,0,0,0,0,0,2,2019,2019,7,0,1,0,0,0,1,1,1,1,1,1,0,1,4,15383.0,2,2,0,0.01,1,0
Defiant Ogre,0,1,0,0,0,0,0,0,6,2019,2019,2,0,0,0,1,0,0,1,1,1,1,1,0,0,4,14517.0,3,3,0,0.01,2,1
Earth Elemental,0,1,0,0,0,0,0,0,5,2019,2019,15,0,0,0,1,0,0,1,1,0,1,1,0,1,4,17747.0,4,4,0,0.01,4,1
Formless Nurturing,0,0,0,1,0,0,0,0,4,2019,2019,3,0,0,0,0,1,0,1,1,1,1,1,0,0,4,15543.0,-5,-5,0,0.01,2,1
Hardy Veteran,0,1,0,0,0,0,0,0,2,2019,2019,2,0,0,0,0,1,0,1,1,1,1,1,0,0,4,15865.0,2,2,0,0.01,2,1
Infantry Veteran,0,1,0,0,0,0,0,0,1,2019,2019,10,1,0,0,0,0,0,1,1,0,1,1,0,1,4,14872.0,1,1,0,0.01,4,1
Inquisitor's Ox,0,1,0,0,0,0,0,0,4,2019,2019,2,1,0,0,0,0,0,1,1,1,1,1,0,0,4,18810.0,2,2,0,0.01,2,1
Inspired Charge,0,0,1,0,0,0,0,0,4,2020,2020,9,1,0,0,0,0,1,1,1,1,1,1,0,1,4,8850.0,-5,-5,0,0.01,4,0
Ironclad Krovod,0,1,0,0,0,0,0,0,4,2019,2019,2,1,0,0,0,0,1,1,1,1,1,1,0,1,4,17905.0,2,2,0,0.01,1,0
Kraul Warrior,0,1,0,0,0,0,0,0,2,2019,2019,3,0,0,0,0,1,0,1,1,1,1,1,0,1,4,17361.0,2,2,0,0.01,4,1
Lagonna-Band Elder,0,1,0,0,0,0,0,0,3,2013,2013,1,1,0,0,0,0,0,1,1,1,1,1,0,0,4,16857.0,3,3,0,0.01,2,1
Marauding Maulhorn,0,1,0,0,0,0,0,0,4,2013,2013,1,0,0,0,1,0,0,1,1,1,1,1,0,0,4,19000.0,5,5,0,0.01,1,1
Rampaging Cyclops,0,1,0,0,0,0,0,0,4,2019,2019,2,0,0,0,1,0,0,1,1,1,1,1,0,0,4,19372.0,4,4,0,0.01,2,1
Reckless Brute,0,1,0,0,0,0,0,0,3,2012,2012,1,0,0,0,1,0,0,1,1,0,1,1,0,0,4,17250.0,3,3,0,0.01,1,1
Reduce to Ashes,0,0,0,1,0,0,0,0,5,2019,2019,2,0,0,0,1,0,1,1,1,1,1,1,0,1,4,13192.0,-5,-5,0,0.01,1,1
Roilmage's Trick,0,0,1,0,0,0,0,0,4,2015,2015,1,0,1,0,0,0,0,1,1,1,1,1,0,0,4,16658.0,-5,-5,0,0.01,2,1
