id,name,type,cmc,year,id_white,id_blue,id_black,id_red,id_green,standard_legal,commander_legal,modern_legal,pioneer_legal,legacy_legal,pauper_legal,reserved,reprint,rarity,edhrec_rank,power,toughness
86bf43b1-8d4e-4759-bb2d-0b2e03ba7012,Static Orb,Artifact,3.0,2001,False,False,False,False,False,False,True,False,False,True,False,False,True,rare,1810.0,-1,-1
7050735c-b232-47a6-a342-01795bfd0d46,Sensory Deprivation,Enchantment — Aura,1.0,2013,False,True,False,False,False,False,True,True,True,True,True,False,True,common,18075.0,-1,-1
e718b21b-46d1-4844-985c-52745657b1ac,Road of Return,Sorcery,2.0,2019,False,False,False,False,True,False,True,False,False,True,False,False,False,rare,3867.0,-1,-1
2955a257-302c-48df-9eec-8561cbc8374c,Storm Crow,Creature — Bird,2.0,2020,False,True,False,False,False,False,True,True,False,True,True,False,True,common,10485.0,1,2
b125d1e7-5d9b-4997-88b0-71bdfc19c6f2,Walking Sponge,Creature — Sponge,2.0,1999,False,True,False,False,False,False,True,False,False,True,False,False,False,uncommon,16389.0,1,1
e0f83824-43c6-4101-88fd-9109958b23e2,Ravnica at War,Sorcery,4.0,2019,True,False,False,False,False,True,True,True,True,True,False,False,False,rare,5743.0,-1,-1
feeee859-f64a-4cd8-be0b-ad60cff8812e,Torrent of Fire,Sorcery,5.0,2003,False,False,False,True,False,False,True,False,False,True,True,False,False,common,16604.0,-1,-1
3c97d419-6fee-4a32-9e64-8a827da59934,Wyluli Wolf,Creature — Wolf,2.0,2007,False,False,False,False,True,False,True,False,False,True,True,False,True,common,13076.0,1,1
280f2a85-1900-460b-a768-164fc2dea636,Pteramander,Creature — Salamander Drake,1.0,2019,False,True,False,False,False,True,True,True,True,True,False,False,False,uncommon,6073.0,1,1
5c0a4e6e-cc4e-43d5-aece-f009e117366a,Nantuko Elder,Creature — Insect Druid,3.0,2001,False,False,False,False,True,False,True,False,False,True,False,False,False,uncommon,8761.0,1,2
5ab2ba75-e52e-46f5-8a34-3fe1e07446fd,Vedalken Heretic,Creature — Vedalken Rogue,2.0,2009,False,True,False,False,True,False,True,True,False,True,False,False,False,rare,12122.0,1,1
56e109e2-b8ff-47d0-a962-dc996c1656e8,Waterknot,Enchantment — Aura,3.0,2018,False,True,False,False,False,False,True,True,True,True,True,False,True,common,10592.0,-1,-1
1ce91e38-4601-4354-ad1b-2c5c1c70da17,Ruthless Knave,Creature — Orc Pirate,3.0,2017,False,False,True,False,False,False,True,True,True,True,False,False,False,uncommon,4275.0,3,2
ef772879-44aa-428d-8c12-50d38f8bac80,Palinchron,Creature — Illusion,7.0,2014,False,True,False,False,False,False,True,False,False,True,False,True,True,rare,2114.0,4,5
8bbdc7c5-71a1-4db8-98b2-8883bf648dca,"Hua Tuo, Honored Physician",Legendary Creature — Human,3.0,2013,False,False,False,False,True,False,True,False,False,True,False,False,True,rare,5050.0,1,2
aa686c34-1c11-469f-93c2-f9891aea521f,Veil of Summer,Instant,1.0,2019,False,False,False,False,True,False,True,True,False,True,False,False,False,uncommon,802.0,-1,-1
ad806d67-4c98-438b-859f-b1358281e09d,Disposal Mummy,Creature — Zombie Jackal,3.0,2017,True,False,False,False,False,False,True,True,True,True,True,False,False,common,15143.0,2,3
0b4cc234-f6b7-4801-a6d0-c98b72f446cf,Wei Strike Force,Creature — Human Soldier,3.0,2009,False,False,True,False,False,False,True,False,False,True,True,False,True,common,17953.0,2,1
