name,is_legendary,is_creature,is_instant,is_sorcery,is_land,is_enchantment,is_planeswalker,is_artifact,cmc,first_printing,last_printing,num_printings,is_id_white,is_id_blue,is_id_black,is_id_red,is_id_green,is_standard_legal,is_commander_legal,is_modern_legal,is_pioneer_legal,is_legacy_legal,is_pauper_legal,is_reserved,is_reprint,rarity,edhrec_rank,power,toughness,set_enum,is_masters,is_booster,oracle_len,exp,pred
Deathcult Rogue,0,1,0,0,0,0,0,0,3.0,2013,2013,1.0,0,1,1,0,0,0,1,1,1,1,1,0,0,4,8750.0,2,2,2,0,1.0,50.0,0,0
Gorm the Great,1,1,0,0,0,0,0,0,4.0,2018,2020,3.0,0,0,0,0,1,0,1,0,0,1,0,0,1,2,5014.0,2,2,4,1,1.0,263.0,0,0
Fugitive Wizard,0,1,0,0,0,0,0,0,1.0,2003,2014,5.0,0,1,0,0,0,0,1,1,1,1,1,0,1,4,16377.0,1,1,1,0,1.0,0.0,0,0
Increasing Devotion,0,0,0,1,0,0,0,0,5.0,2012,2020,4.0,1,0,0,0,0,0,1,1,0,1,0,0,1,2,1900.0,-5,-5,3,0,0.0,225.0,0,0
Empty City Ruse,0,0,0,1,0,0,0,0,1.0,1999,1999,1.0,1,0,0,0,0,0,1,0,0,1,0,0,0,3,18606.0,-5,-5,5,0,1.0,59.0,1,1
Riptide Replicator,0,0,0,0,0,0,0,1,4.0,2002,2005,2.0,0,0,0,0,0,0,1,0,0,1,0,0,0,2,7605.0,-5,-5,2,0,1.0,286.0,1,1
Bloodsoaked Altar,0,0,0,0,0,0,0,1,6.0,2019,2019,1.0,0,0,1,0,0,0,1,1,1,1,0,0,0,3,7294.0,-5,-5,1,0,1.0,169.0,0,0
Bathe in Dragonfire,0,0,0,1,0,0,0,0,3.0,2015,2020,3.0,0,0,0,1,0,0,1,1,1,1,1,0,1,4,12406.0,-5,-5,7,0,1.0,54.0,0,0
Conspiracy,0,0,0,0,0,1,0,0,5.0,1999,2020,3.0,0,0,1,0,0,0,1,1,0,1,0,0,1,2,3001.0,-5,-5,2,0,1.0,212.0,1,1
Ward Sliver,0,1,0,0,0,0,0,0,5.0,2003,2003,1.0,1,0,0,0,0,0,1,0,0,1,0,0,0,3,4535.0,2,2,2,0,1.0,105.0,1,1
Animate Land,0,0,1,0,0,0,0,0,1.0,2000,2000,1.0,0,0,0,0,1,0,1,0,0,1,0,0,0,3,15498.0,-5,-5,2,0,1.0,74.0,0,0
Protective Sphere,0,0,0,0,0,1,0,0,3.0,2000,2000,1.0,1,0,0,0,0,0,1,0,0,1,1,0,0,4,12387.0,-5,-5,2,0,1.0,201.0,0,0
Lightmine Field,0,0,0,0,0,1,0,0,4.0,2010,2010,1.0,1,0,0,0,0,0,1,1,0,1,0,0,0,2,4518.0,-5,-5,2,0,1.0,138.0,1,1
Wandering Stream,0,0,0,1,0,0,0,0,3.0,2000,2000,1.0,0,0,0,0,1,0,1,0,0,1,1,0,0,4,19539.0,-5,-5,2,0,1.0,74.0,0,0
Earthshaking Si,0,1,0,0,0,0,0,0,6.0,2018,2018,1.0,0,0,0,0,1,0,1,0,0,1,1,0,0,4,19580.0,5,5,6,0,0.0,99.0,0,0
Kami of Empty Graves,0,1,0,0,0,0,0,0,4.0,2005,2005,1.0,0,0,1,0,0,0,1,1,0,1,1,0,0,4,13789.0,4,4,2,0,1.0,141.0,0,0
Journeyer's Kite,0,0,0,0,0,0,0,1,2.0,2004,2012,2.0,0,0,0,0,0,0,1,1,0,1,0,0,1,2,4640.0,-5,-5,6,0,0.0,117.0,0,0
Auriok Salvagers,0,1,0,0,0,0,0,0,4.0,2004,2020,3.0,1,0,0,0,0,0,1,1,0,1,0,0,1,3,4767.0,2,2,4,1,1.0,104.0,0,0
Syndicate Messenger,0,1,0,0,0,0,0,0,4.0,2019,2019,1.0,1,0,0,0,0,0,1,1,1,1,1,0,0,4,10943.0,2,2,2,0,1.0,109.0,0,0
Gosta Dirk,1,1,0,0,0,0,0,0,7.0,1994,1994,1.0,1,1,0,0,0,0,1,0,0,1,0,1,0,2,18754.0,4,4,2,0,1.0,92.0,1,1
Aether Storm,0,0,0,0,0,1,0,0,4.0,1995,1997,2.0,0,1,0,0,0,0,1,0,0,1,0,0,1,3,15075.0,-5,-5,4,1,1.0,127.0,0,0
Death Cloud,0,0,0,1,0,0,0,0,3.0,2004,2013,2.0,0,0,1,0,0,0,1,1,0,1,0,0,1,2,3962.0,-5,-5,4,1,1.0,92.0,1,0
Gamble,0,0,0,1,0,0,0,0,1.0,1998,2020,4.0,0,0,0,1,0,0,1,0,0,1,0,0,1,2,247.0,-5,-5,4,1,1.0,114.0,1,1
Flight,0,0,0,0,0,1,0,0,1.0,1993,2011,14.0,0,1,0,0,0,0,1,1,0,1,1,0,1,4,14488.0,-5,-5,1,0,1.0,47.0,0,0
Selesnya Charm,0,0,1,0,0,0,0,0,2.0,2012,2018,4.0,1,0,0,0,1,0,1,1,1,1,0,0,1,3,2515.0,-5,-5,3,0,0.0,186.0,0,0
Prizefighter Construct,0,1,0,0,0,0,0,1,5.0,2017,2017,1.0,0,0,0,0,0,0,1,1,1,1,1,0,0,4,17136.0,6,6,2,0,1.0,0.0,0,0
Thrive,0,0,0,1,0,0,0,0,1.0,2000,2019,4.0,0,0,0,0,1,0,1,1,0,1,1,0,1,4,9547.0,-5,-5,4,1,1.0,50.0,0,0
Herald of Serra,0,1,0,0,0,0,0,0,4.0,1998,1998,1.0,1,0,0,0,0,0,1,0,0,1,0,1,0,2,18622.0,3,3,2,0,1.0,183.0,1,0
Skullmane Baku,0,1,0,0,0,0,0,0,5.0,2005,2005,1.0,0,0,1,0,0,0,1,1,0,1,1,0,0,4,13404.0,2,2,2,0,1.0,185.0,0,0
Roc of Kher Ridges,0,1,0,0,0,0,0,0,4.0,1993,1994,6.0,0,0,0,1,0,0,1,0,0,1,0,1,1,3,19134.0,3,3,4,1,1.0,6.0,1,1
Tranquil Expanse,0,0,0,0,1,0,0,0,0.0,2016,2018,6.0,1,0,0,0,1,0,1,1,1,1,1,0,1,3,1710.0,-5,-5,3,0,0.0,68.0,0,0
Wild Growth,0,0,0,0,0,1,0,0,1.0,1993,2019,15.0,0,0,0,0,1,0,1,0,0,1,1,0,1,4,347.0,-5,-5,3,0,0.0,95.0,0,0
Warrior en-Kor,0,1,0,0,0,0,0,0,2.0,1998,1998,1.0,1,0,0,0,0,0,1,0,0,1,0,0,1,3,13371.0,2,2,4,1,1.0,119.0,0,0
Parhelion II,1,0,0,0,0,0,0,1,8.0,2019,2019,2.0,1,0,0,0,0,0,1,1,1,1,0,0,0,2,2774.0,5,5,2,0,1.0,289.0,0,0
Sphinx Mindbreaker,0,1,0,0,0,0,0,0,7.0,2020,2020,1.0,0,1,0,0,0,1,1,1,1,1,0,0,0,2,10101.0,6,6,2,0,0.0,85.0,1,0
