id,name,type,cmc,year,id_white,id_blue,id_black,id_red,id_green,standard_legal,commander_legal,modern_legal,pioneer_legal,legacy_legal,pauper_legal,reserved,reprint,rarity,edhrec_rank,power,toughness,last_set
f9ff6624-ed0e-43d0-9519-112979b165f5,Master Apothecary,Creature — Human Cleric,3,2001,True,False,False,False,False,False,True,False,False,True,False,False,False,rare,9866,2,2,Odyssey
aced2c55-7543-4076-bcdd-36c4d649b8ae,Mox Emerald,Artifact,0,2014,False,False,False,False,True,False,False,False,False,False,False,True,True,mythic,19810,-1,-1,Vintage Masters
3c004cd1-9190-4356-ad68-5012c7ef63de,Dregs of Sorrow,Sorcery,5,2014,False,False,True,False,False,False,True,False,False,True,False,False,True,rare,7417,-1,-1,Commander 2014
58f9eb25-4140-4ecf-bcaa-1b193d884007,Defensive Maneuvers,Instant,4,2002,True,False,False,False,False,False,True,False,False,True,True,False,False,common,15142,-1,-1,Onslaught
8e3809e6-41ac-47e8-80dc-9e9c8be1ed7a,Rag Man,Creature — Human Minion,4,2001,False,False,True,False,False,False,True,False,False,True,False,False,True,rare,13512,2,1,Seventh Edition
d7da182c-cde3-40d8-976e-a88427a1edb8,Dream Cache,Sorcery,3,2018,False,True,False,False,False,False,True,False,False,True,True,False,True,common,3629,-1,-1,Commander 2018
ea3d742a-52a1-45c8-961a-85b6ff120c44,Kjeldoran Royal Guard,Creature — Human Soldier,5,2007,True,False,False,False,False,False,True,True,False,True,False,False,True,rare,14663,2,5,Tenth Edition
8ae5ba21-eb8e-4663-bfd8-3e19a0c10774,Straw Soldiers,Creature — Scarecrow Soldier,2,1999,False,True,False,False,False,False,True,False,False,True,True,False,False,common,14302,1,3,Portal Three Kingdoms
39d51c5e-26cb-4276-a676-fabfef866248,Gideon Blackblade,Legendary Planeswalker — Gideon,3,2019,True,False,False,False,False,True,True,True,True,True,False,False,False,mythic,3741,-1,-1,War of the Spark
77161159-ee2c-485d-8674-d8590ccc62e1,Cerebral Eruption,Sorcery,4,2010,False,False,False,True,False,False,True,True,False,True,False,False,False,rare,11005,-1,-1,Scars of Mirrodin
d4b70c30-dbc9-4d30-81d8-b0bde9b626df,Shield Wall,Instant,2,2001,True,False,False,False,False,False,True,False,False,True,True,False,True,common,14843,-1,-1,Seventh Edition
d75a7314-39f2-4e32-a5b0-ac1761b6d238,Vedalken Outlander,Artifact Creature — Vedalken Scout,2,2009,True,True,False,False,False,False,True,True,False,True,True,False,False,common,18110,2,2,Conflux
fb398027-5a29-4c81-aab5-b1a2b82fd655,Builder's Bane,Sorcery,1,1996,False,False,False,True,False,False,True,False,False,True,True,False,False,common,13040,-1,-1,Mirage
37257329-5946-44df-9f5a-50bd38b6a151,Rise // Fall,Sorcery // Sorcery,4,2011,False,True,True,True,False,False,True,True,False,True,False,False,True,uncommon,19636,-1,-1,Duel Decks: Ajani vs. Nicol Bolas
88273b1e-b33b-44d3-8777-4e78a04eed65,Dire Fleet Poisoner,Creature — Human Pirate,2,2018,False,False,True,False,False,False,True,True,True,True,False,False,False,rare,5464,2,2,Rivals of Ixalan
332dc6c3-7802-4bde-aa4e-0feab70c216f,Terror of Mount Velus,Creature — Dragon,7,2020,False,False,False,True,False,True,True,True,True,True,False,False,False,rare,7125,5,5,Theros Beyond Death
8075e43a-7d36-4e07-a2ff-41e98e6c7778,Mesa Pegasus,Creature — Pegasus,2,2007,True,False,False,False,False,False,True,False,False,True,True,False,True,common,13895,1,1,Masters Edition
1aeb39c9-7853-4032-882a-83d4863dcbc5,Telepathic Spies,Creature — Human Wizard,3,2001,False,True,False,False,False,False,True,False,False,True,True,False,True,common,15195,2,2,Seventh Edition
f7f77c7e-d35f-477e-acc4-a393044319ea,Fistful of Force,Instant,2,2007,False,False,False,False,True,False,True,True,False,True,True,False,False,common,16649,-1,-1,Lorwyn
0878b541-a730-49db-b062-5a01656e269d,Exsanguinate,Sorcery,2,2010,False,False,True,False,False,False,True,True,False,True,False,False,False,uncommon,292,-1,-1,Scars of Mirrodin
89b2fd2b-99b5-4262-a70a-93fd58699fb7,Tavern Swindler,Creature — Human Rogue,2,2018,False,False,True,False,False,False,True,True,True,True,False,False,True,uncommon,8565,2,2,Battlebond
756025a8-1096-4e7c-bbfe-6237e4a76216,Crush Underfoot,Tribal Instant — Giant,2,2013,False,False,False,True,False,False,True,True,False,True,True,False,True,common,11358,-1,-1,Modern Masters
e4763b6c-6471-41bd-b3e4-785564bcf06f,Ichthyomorphosis,Enchantment — Aura,3,2020,False,True,False,False,False,True,True,True,True,True,True,False,False,common,8943,-1,-1,Theros Beyond Death
b6c10302-f0b3-4076-ae5c-a8c8c09a7d41,Cystbearer,Creature — Beast,3,2010,False,False,False,False,True,False,True,True,False,True,True,False,False,common,5769,2,3,Scars of Mirrodin
